"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006813","GO:0006813","potassium ion transport","7/163","57/21676",2.30353489099717e-07,0.000183591730812474,0.000166096989508743,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/ATGLR1.1/KUP10",7
"GO:0071805","GO:0071805","potassium ion transmembrane transport","6/163","44/21676",9.18851518023745e-07,0.000366162329932462,0.000331270152550666,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/KUP10",6
"GO:0009060","GO:0009060","aerobic respiration","7/163","97/21676",8.70258422329245e-06,0.00231198654198803,0.00209167375191415,"AOX1C/AOX2/AOX1B/AOX1A/NA/AOX1D/NA",7
"GO:0009867","GO:0009867","jasmonic acid mediated signaling pathway","7/163","107/21676",1.65897555341673e-05,0.00319208032123693,0.00288790202740183,"AtUBP13/RGLG3/AtUBP12/GRI/RGLG4/ATWRKY53/GLYI4",7
"GO:0071395","GO:0071395","cellular response to jasmonic acid stimulus","7/163","111/21676",2.10722219487484e-05,0.00319208032123693,0.00288790202740183,"AtUBP13/RGLG3/AtUBP12/GRI/RGLG4/ATWRKY53/GLYI4",7
"GO:0071398","GO:0071398","cellular response to fatty acid","7/163","115/21676",2.65098078753889e-05,0.00319208032123693,0.00288790202740183,"AtUBP13/RGLG3/AtUBP12/GRI/RGLG4/ATWRKY53/GLYI4",7
"GO:0045333","GO:0045333","cellular respiration","7/163","116/21676",2.80358372003244e-05,0.00319208032123693,0.00288790202740183,"AOX1C/AOX2/AOX1B/AOX1A/NA/AOX1D/NA",7
"GO:0051788","GO:0051788","response to misfolded protein","4/163","26/21676",4.04924583061194e-05,0.00403406115874715,0.00364964920259103,"ATCDC48/AtCDC48C/AtCDC48B/RPT2a",4
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","7/163","131/21676",6.10795800167636e-05,0.00540893614148451,0.00489351021186936,"AOX1C/AOX2/AOX1B/AOX1A/NA/AOX1D/NA",7
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","10/163","294/21676",8.03161714152877e-05,0.00633092232587647,0.00572763890011937,"RPT5B/ATCDC48/AtCDC48C/AtCDC48B/ATS6A.2/RPT3/ARI9/RPT2b/RPT1A/RPT2a",10
"GO:0009616","GO:0009616","RNAi-mediated antiviral immune response","3/163","12/21676",8.73778489142298e-05,0.00633092232587647,0.00572763890011937,"AGO1/AGO7/AGO5",3
"GO:0010193","GO:0010193","response to ozone","4/163","33/21676",0.000106381962561247,0.00706553534677616,0.00639224950477668,"ATNOA1/ATWRKY30/GRI/ATWRKY53",4
"GO:0032527","GO:0032527","protein exit from endoplasmic reticulum","3/163","14/21676",0.000142979215585103,0.0087657257554867,0.00793042612759478,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0010498","GO:0010498","proteasomal protein catabolic process","10/163","333/21676",0.000221485482541153,0.0126088521132357,0.0114073350030594,"RPT5B/ATCDC48/AtCDC48C/AtCDC48B/ATS6A.2/RPT3/ARI9/RPT2b/RPT1A/RPT2a",10
"GO:0071712","GO:0071712","ER-associated misfolded protein catabolic process","3/163","17/21676",0.00026270956659509,0.0139586349717524,0.0126284949556236,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0071218","GO:0071218","cellular response to misfolded protein","3/163","23/21676",0.000661909692255965,0.0329713765455003,0.0298294828417984,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0009753","GO:0009753","response to jasmonic acid","7/163","204/21676",0.000911914000003323,0.0403153293122977,0.0364736189380227,"AtUBP13/RGLG3/AtUBP12/GRI/RGLG4/ATWRKY53/GLYI4",7
"GO:0016441","GO:0016441","posttranscriptional gene silencing","5/163","100/21676",0.00095792667746417,0.0403153293122977,0.0364736189380227,"AtSAC3B/AGO1/AGO7/AGO5/HEN2",5
"GO:0070542","GO:0070542","response to fatty acid","7/163","208/21676",0.00102105063753389,0.0403153293122977,0.0364736189380227,"AtUBP13/RGLG3/AtUBP12/GRI/RGLG4/ATWRKY53/GLYI4",7
"GO:0051607","GO:0051607","defense response to virus","4/163","60/21676",0.00108299629852281,0.0403153293122977,0.0364736189380227,"AGO1/AGO7/AGO5/AGO10",4
"GO:0140546","GO:0140546","defense response to symbiont","4/163","60/21676",0.00108299629852281,0.0403153293122977,0.0364736189380227,"AGO1/AGO7/AGO5/AGO10",4
"GO:0048366","GO:0048366","leaf development","10/163","410/21676",0.00111284472380244,0.0403153293122977,0.0364736189380227,"AGO1/ATKUP9/ATNOA1/EID1/HUB1/ATKT3/ATWRKY30/PKS2/ATWRKY53/RPT2a",10
"GO:0007052","GO:0007052","mitotic spindle organization","3/163","29/21676",0.00132127098220263,0.0457849118615434,0.0414219964672221,"ATCDC48/AtCDC48C/AtCDC48B",3
"GO:0045087","GO:0045087","innate immune response","7/163","223/21676",0.00152482252185203,0.0479933995122223,0.0434200338980021,"AGO1/HUB1/AGO7/DELTA-OAT/RPP13/AGO5/RPT2a",7
"GO:0030001","GO:0030001","metal ion transport","7/163","224/21676",0.00156425539261933,0.0479933995122223,0.0434200338980021,"ATKT1/ATKUP9/KUP11/ATKT3/ATKT4/ATGLR1.1/KUP10",7
